id,meal_name,photo,description,time,low_calorie,vegetarian,pescatarian,vegan,halal,spicy,easy_prep,easy_cleanup
19,Filbert,http://dummyimage.com/214x100.png/cc0000/ffffff,"Dilate R Int Iliac Art, Bifurc, w Drug-elut Intra, Perc",30,true,false,true,true,true,true,true,true
20,Octinoxate,http://dummyimage.com/144x100.png/cc0000/ffffff,"Dilate R Com Carotid, Bifurc, w 2 Intralum Dev, Perc",17,false,true,false,true,false,false,true,false
21,"Hydroquinone, Padimate O",http://dummyimage.com/176x100.png/dddddd/000000,"Dilation of Trachea, Open Approach",19,false,false,true,true,false,false,false,false
22,Prednisone,http://dummyimage.com/237x100.png/dddddd/000000,"Dilation of 2 Cor Art with 4 Drug-elut, Perc Endo Approach",2,false,true,false,false,true,true,true,true
23,Tramadol ER,http://dummyimage.com/133x100.png/5fa2dd/ffffff,"Alteration of Left Wrist Region, Open Approach",23,true,true,false,true,false,false,false,true
24,California Walnut Black Pollen,http://dummyimage.com/192x100.png/5fa2dd/ffffff,Change Cast on Face,22,false,true,true,true,false,false,true,true
25,Warfarin Sodium,http://dummyimage.com/244x100.png/5fa2dd/ffffff,"Supplement C-thor Disc with Nonaut Sub, Open Approach",29,false,false,true,false,false,false,false,true
26,pramoxine hydrochloride,http://dummyimage.com/153x100.png/ff4444/ffffff,"Bypass Lower Esophagus to Ileum with Synth Sub, Endo",1,true,false,true,true,true,true,true,false
27,"BENZALKONIUM CHLORIDE, BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE, WATER, ISOPROPYL ALCOHOL, BENZOCAINE, ALCOHOL, ASPIRIN,",http://dummyimage.com/119x100.png/cc0000/ffffff,"Repair Right Elbow Bursa and Ligament, Open Approach",13,true,false,true,true,true,false,false,false
28,ZINC OXIDE,http://dummyimage.com/198x100.png/cc0000/ffffff,"Drainage of Left Carpal Joint, Percutaneous Approach",10,false,false,true,true,false,false,false,false
29,Insulin lispro,http://dummyimage.com/211x100.png/5fa2dd/ffffff,"Supplement L Post Tib Art with Synth Sub, Open Approach",1,false,false,true,true,true,true,false,false
30,"TITANIUM DIOXIDE, ZINC OXIDE",http://dummyimage.com/100x100.png/dddddd/000000,"Dilation of 1 Cor Art with Drug-elut Intra, Perc Approach",24,false,true,true,true,false,false,true,true
31,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",http://dummyimage.com/237x100.png/dddddd/000000,"Revision of Nonaut Sub in L Tibia, Perc Approach",15,false,false,false,true,false,false,true,false
32,"Balsam Peru, Castor Oil and Trypsin",http://dummyimage.com/204x100.png/dddddd/000000,"Introduction of Immunosuppressive into Periph Art, Perc",4,true,true,false,true,true,false,true,true
33,Ethyl alcohol,http://dummyimage.com/223x100.png/5fa2dd/ffffff,"Reposition L Up Femur with Intramed Fix, Perc Endo Approach",26,true,false,true,true,false,false,false,true
34,divalproex sodium,http://dummyimage.com/119x100.png/dddddd/000000,"Excision of Right Breast, External Approach",21,false,true,false,true,true,true,true,true
35,Wheat Stem Rust,http://dummyimage.com/102x100.png/5fa2dd/ffffff,"Excision of Nasal Septum, Open Approach",14,false,false,false,true,false,true,false,true
36,"Aluminum Hydroxide, Magnesium Hydroxide, Simethicone",http://dummyimage.com/152x100.png/cc0000/ffffff,"Occlusion of R Hand Art with Intralum Dev, Perc Approach",20,true,true,false,false,true,false,true,false
37,Triclosan,http://dummyimage.com/160x100.png/dddddd/000000,"Reposition Left Lacrimal Gland, Open Approach",15,true,false,false,true,false,true,false,true
38,olmesartan medoxomil and hydrochlorothiazide,http://dummyimage.com/151x100.png/dddddd/000000,"Replace R Sphenoid Bone w Nonaut Sub, Perc Endo",27,false,false,true,false,true,true,true,false
39,Water,http://dummyimage.com/248x100.png/dddddd/000000,"Removal of Monitoring Device from Pleura, Perc Approach",8,true,false,true,false,false,true,false,false
40,olopatadine hydrochloride,http://dummyimage.com/172x100.png/5fa2dd/ffffff,"Destruction of Left Hand Muscle, Percutaneous Approach",14,true,false,true,false,false,false,true,false
41,Aluminum Zirconium Tetrachlorohydrex GLY,http://dummyimage.com/125x100.png/dddddd/000000,"Replacement of Right Clavicle with Synth Sub, Open Approach",27,false,false,true,true,true,false,false,true
42,ulmus pumila pollen,http://dummyimage.com/170x100.png/ff4444/ffffff,"Revision of Nonaut Sub in Thor Disc, Perc Approach",5,true,true,true,true,true,false,true,false
43,BENZALKONIUM CHLORIDE AND LIDOCAINE HYDROCHLORIDE,http://dummyimage.com/223x100.png/5fa2dd/ffffff,"Replace L Up Arm Skin w Synth Sub, Part Thick, Extern",19,true,true,true,false,false,false,false,false
44,Activated Charcoal,http://dummyimage.com/106x100.png/dddddd/000000,"Extirpation of Matter from Right Foot Tendon, Open Approach",7,false,false,false,true,false,false,true,true
45,Meloxicam,http://dummyimage.com/170x100.png/cc0000/ffffff,"Supplement Right Rib with Nonaut Sub, Perc Endo Approach",25,true,false,true,true,false,false,true,false
46,"MATRICARIA RECUTITA, RHUBARB, PHYTOLACCA AMERICANA ROOT",http://dummyimage.com/235x100.png/ff4444/ffffff,"Excision of Right Foot Tendon, Perc Endo Approach",8,false,true,false,false,false,true,false,true
47,fluoxetine,http://dummyimage.com/151x100.png/ff4444/ffffff,CT Scan of Cereb Vent using L Osm Contrast,17,false,false,false,true,false,false,true,false
48,Potassium Chloride,http://dummyimage.com/185x100.png/5fa2dd/ffffff,"Dilate L Renal Art, Bifurc, w 3 Intralum Dev, Open",27,false,true,true,true,true,false,false,false
49,Normal Saline with Phenol,http://dummyimage.com/228x100.png/ff4444/ffffff,"Insertion of Int Fix into Occip Jt, Open Approach",5,true,true,false,true,false,true,true,false
50,Ipratropium Bromide and Albuterol Sulfate,http://dummyimage.com/187x100.png/cc0000/ffffff,"Inspection of Left Toe Phalangeal Joint, Perc Approach",19,true,false,false,false,true,true,true,true
51,Povidone-Iodine,http://dummyimage.com/196x100.png/ff4444/ffffff,"Ultrasonography of Right Internal Carotid Artery, Intravasc",29,true,false,true,false,false,true,false,false
52,clonidine hydrochloride,http://dummyimage.com/106x100.png/cc0000/ffffff,"Bypass L Renal Vein to Low Vein w Autol Sub, Open",20,false,false,false,false,true,true,true,true
53,DIMETHICONE,http://dummyimage.com/133x100.png/cc0000/ffffff,"Dilation of Lower Esophagus with Intralum Dev, Open Approach",5,true,false,true,false,true,false,true,false
54,ibuprofen,http://dummyimage.com/242x100.png/cc0000/ffffff,"Revision of Ext Fix in R Toe Phalanx, Perc Endo Approach",25,false,false,false,true,false,false,true,true
55,Bisacodyl,http://dummyimage.com/201x100.png/5fa2dd/ffffff,"Removal of Infusion Device from Bladder, Perc Endo Approach",15,true,false,false,false,true,false,false,true
56,Triclosan,http://dummyimage.com/246x100.png/dddddd/000000,"Excision of Left Wrist Region, Perc Endo Approach, Diagn",23,true,true,true,true,true,false,true,true
57,sildenafil citrate,http://dummyimage.com/217x100.png/5fa2dd/ffffff,"Supplement Left Cornea with Synth Sub, Open Approach",13,false,true,true,false,true,false,false,true
58,Allantoin,http://dummyimage.com/209x100.png/ff4444/ffffff,"Drainage of Right Hand with Drain Dev, Perc Endo Approach",17,true,true,false,false,false,true,false,true
59,potassium citrate,http://dummyimage.com/234x100.png/dddddd/000000,"Supplement Sigmoid Colon with Synth Sub, Via Opening",19,false,true,false,false,true,false,true,false
60,Nicotine polacrilex,http://dummyimage.com/160x100.png/5fa2dd/ffffff,"Excision of Left Epididymis, Open Approach",30,true,false,false,false,false,false,false,false
61,Losartan Potassium,http://dummyimage.com/215x100.png/ff4444/ffffff,"Revision of Synth Sub in L Carpal Jt, Open Approach",14,false,false,true,false,true,false,true,false
62,methylprednisolone sodium succinate,http://dummyimage.com/164x100.png/dddddd/000000,"Resection of Ascending Colon, Endo",20,true,false,true,true,false,false,false,true
63,Treatment Set TS351201,http://dummyimage.com/162x100.png/5fa2dd/ffffff,"Revision of Radioactive Element in Neck, Perc Approach",5,false,false,true,false,false,true,true,true
64,Citalopram Hydrobromide,http://dummyimage.com/181x100.png/dddddd/000000,"Reattachment of Sigmoid Colon, Open Approach",27,false,true,true,false,false,false,true,false
65,"TITANIUM DIOXIDE, OCTINOXATE, ZINC OXIDE",http://dummyimage.com/161x100.png/5fa2dd/ffffff,"Reposition Left Parietal Bone, Percutaneous Approach",14,false,false,true,true,false,false,false,true
66,Rhodotorula mucilaginosa,http://dummyimage.com/178x100.png/ff4444/ffffff,"Drainage of Bilateral Vas Deferens, Perc Endo Approach",8,false,false,false,true,true,false,true,false
67,Raloxifene hydrochloride,http://dummyimage.com/181x100.png/5fa2dd/ffffff,Wound Mgmt Trmt Musculosk Up Back/UE w Mech Equip,3,false,true,false,true,false,true,true,true
68,"OXYBENZONE, OCTINOXATE, ZINC OXIDE",http://dummyimage.com/223x100.png/dddddd/000000,"Drain of Pelvic Subcu/Fascia with Drain Dev, Perc Approach",7,true,true,false,true,true,false,true,false
69,METHYLPREDNISOLONE SODIUM SUCCINATE,http://dummyimage.com/205x100.png/ff4444/ffffff,"Excision of Right External Carotid Artery, Open Approach",15,false,false,false,true,true,true,false,false
70,fenofibrate,http://dummyimage.com/177x100.png/ff4444/ffffff,"Resection of Right Hepatic Duct, Endo",27,false,true,false,false,true,false,true,true
71,"Bacitracin Zinc, Neomycin Sulfate, Polymyxin B Sulfate, and Pramoxine Hydrochloride",http://dummyimage.com/155x100.png/ff4444/ffffff,"Dilate of R Com Carotid with 2 Drug-elut, Perc Endo Approach",27,true,true,true,false,false,true,true,false
72,Strophanthus Aurum,http://dummyimage.com/161x100.png/dddddd/000000,"Transfuse Nonaut Plasma Cryoprecip in POC, Circ, Perc",7,false,true,false,false,true,true,false,true
73,DIMERCAPROL,http://dummyimage.com/203x100.png/5fa2dd/ffffff,"Irrigation of Lower GI using Irrigat, Via Opening, Diagn",13,true,false,false,false,true,false,false,true
74,Prednisone,http://dummyimage.com/148x100.png/5fa2dd/ffffff,Coord/Dexterity Trmt Neuro Up Back/UE w Assist Equip,17,false,true,true,false,false,true,true,true
75,everolimus,http://dummyimage.com/118x100.png/dddddd/000000,"Insertion of Radioactive Element into L Nipple, Via Opening",19,false,true,false,false,false,true,false,true
76,ALUMINUM CHLOROHYDRATE,http://dummyimage.com/164x100.png/ff4444/ffffff,"Division of Lumbar Sympathetic Nerve, Perc Endo Approach",20,true,true,false,true,true,false,false,false
77,Velvet Grass,http://dummyimage.com/111x100.png/5fa2dd/ffffff,"Dilation of Coronary Artery, One Artery, Open Approach",10,true,false,false,false,true,true,false,true
78,"Cetirizine HCl, Pseudoephedrine HCl",http://dummyimage.com/154x100.png/cc0000/ffffff,"Bypass R Subclav Art to Bi Low Leg Art w Autol Art, Open",12,true,false,true,true,true,true,false,true
79,nicotine polacrilex,http://dummyimage.com/142x100.png/ff4444/ffffff,"Repair Large Intestine, Percutaneous Approach",11,true,false,true,false,false,true,true,true
80,Octinoxate and Oxybenzone,http://dummyimage.com/249x100.png/cc0000/ffffff,LDR Brachytherapy of Salivary Gland using Cesium 137,14,false,false,false,false,true,false,false,true
81,"OCTINOXATE, HOMOSALATE, OXYBENZONE, AVOBENZONE",http://dummyimage.com/205x100.png/cc0000/ffffff,"Revision of Nonaut Sub in Aort Valve, Open Approach",3,false,true,true,false,false,false,false,true
82,Technetium Tc-99m Generator,http://dummyimage.com/120x100.png/5fa2dd/ffffff,"Bypass Left Ureter to Colon with Autol Sub, Open Approach",13,false,false,true,true,false,false,true,false
83,"RIMANTADINE HYDROCHLORIDE, ARGININE",http://dummyimage.com/219x100.png/cc0000/ffffff,"Drainage of Male Perineum with Drain Dev, Perc Endo Approach",25,true,false,false,true,false,true,true,false
84,Shampoo plus Conditioner,http://dummyimage.com/125x100.png/dddddd/000000,"Msrmt & Monitor, Physiological Sys, Measure",23,true,false,true,true,false,false,true,false
85,Salicylic Acid,http://dummyimage.com/111x100.png/cc0000/ffffff,"Removal of Infusion Device from Thor Jt, Open Approach",7,false,false,false,false,true,true,true,false
86,leuprolide acetate,http://dummyimage.com/191x100.png/5fa2dd/ffffff,"Dilation of Descending Colon with Intralum Dev, Via Opening",29,false,true,false,false,false,false,false,false
87,Pecan Pollen,http://dummyimage.com/216x100.png/5fa2dd/ffffff,"Repair Right Knee Region, Percutaneous Approach",23,false,true,true,false,false,true,false,false
88,"Acetaminophen, Pseudoephedrine HCl",http://dummyimage.com/244x100.png/ff4444/ffffff,"Resection of Middle Esophagus, Endo",6,false,false,true,false,true,false,true,true
89,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl",http://dummyimage.com/154x100.png/5fa2dd/ffffff,"Supplement Left Hip Joint with Autol Sub, Perc Approach",25,true,false,true,true,false,false,true,true
90,HydrOXYzine Hydrochloride,http://dummyimage.com/225x100.png/5fa2dd/ffffff,"Excision of Left Lesser Saphenous Vein, Open Approach, Diagn",10,true,true,true,true,false,false,true,true
91,Octinoxate and Oxybenzone,http://dummyimage.com/123x100.png/dddddd/000000,"Removal of Other Device from Male Perineum, Extern Approach",25,true,false,false,false,false,false,false,false
92,Walnut Black Pollen,http://dummyimage.com/243x100.png/cc0000/ffffff,"Replacement of Right Vocal Cord with Autol Sub, Endo",26,true,true,false,false,false,false,false,false
93,Lidocaine,http://dummyimage.com/220x100.png/5fa2dd/ffffff,"Drainage of L Abd Tendon with Drain Dev, Perc Endo Approach",1,true,false,false,true,true,false,false,false
94,Titanium Dioxide,http://dummyimage.com/137x100.png/cc0000/ffffff,"Removal of Autol Sub from L Clavicle, Open Approach",15,false,false,true,true,false,true,false,false
95,ASPIRIN,http://dummyimage.com/127x100.png/cc0000/ffffff,"Release Right Patella, Percutaneous Endoscopic Approach",4,false,true,true,true,false,false,true,true
96,Sodium Fluoride,http://dummyimage.com/141x100.png/dddddd/000000,"Inspection of Right Lower Arm, External Approach",13,true,true,true,false,false,false,true,true
97,GLYCERIN,http://dummyimage.com/187x100.png/ff4444/ffffff,"Restriction of Ileum with Intraluminal Device, Perc Approach",17,false,false,true,true,false,true,false,false
98,"Titanium Dioxide, Zinc Oxide, and Octinoxate",http://dummyimage.com/104x100.png/ff4444/ffffff,"Revision of Infusion Device in L Pleural Cav, Perc Approach",4,true,true,false,true,true,false,false,true
99,hydrocortisone,http://dummyimage.com/126x100.png/cc0000/ffffff,"Inspection of Ureter, Percutaneous Endoscopic Approach",4,false,false,true,true,true,true,false,false
100,West Sycamore,http://dummyimage.com/184x100.png/dddddd/000000,"Replacement of R Hypogast Vein with Autol Sub, Open Approach",27,true,true,true,false,false,true,false,true
101,Salicylic Acid,http://dummyimage.com/240x100.png/dddddd/000000,"Drainage of R Temporomandib Jt, Perc Approach, Diagn",23,true,false,false,false,false,false,true,true
102,Bisacodyl,http://dummyimage.com/206x100.png/dddddd/000000,"Occlusion of Lingula Bronc with Extralum Dev, Perc Approach",14,false,false,false,true,true,true,false,true
103,Diphenhydramine HCl,http://dummyimage.com/158x100.png/cc0000/ffffff,"Restriction of Right Ureter with Extralum Dev, Perc Approach",18,false,false,true,false,false,false,true,true
104,Ensulizole,http://dummyimage.com/208x100.png/5fa2dd/ffffff,Exercise Trmt Musculosk Low Back/LE w Physical Agent,24,true,true,false,true,true,false,true,true
105,Pyrithione Zinc,http://dummyimage.com/178x100.png/cc0000/ffffff,"Revision of Nonaut Sub in Omentum, Perc Approach",22,false,true,false,false,false,true,false,false
106,Octinoxate and Oxybenzone,http://dummyimage.com/156x100.png/dddddd/000000,"Removal of Radioactive Element from Mesentery, Open Approach",7,true,true,false,true,false,false,true,false
107,Cefuroxime,http://dummyimage.com/122x100.png/dddddd/000000,"Insertion of VAD into R Low Leg Subcu/Fascia, Perc Approach",5,false,false,false,false,false,true,true,false
108,Paricalcitol,http://dummyimage.com/248x100.png/cc0000/ffffff,"Excision of Left Lower Leg, Open Approach, Diagnostic",22,false,false,true,false,false,false,false,true
109,"acetaminophen, dextromethorphan Hbr, Phenylephrine HCl",http://dummyimage.com/208x100.png/cc0000/ffffff,"Drainage of L Com Iliac Vein with Drain Dev, Open Approach",17,true,true,true,false,true,true,false,true
110,lisinopril,http://dummyimage.com/245x100.png/dddddd/000000,"Extirpate matter from R Ulnar Art, Bifurc, Perc Endo",5,true,false,true,false,false,false,true,false
111,Curly Dock,http://dummyimage.com/151x100.png/dddddd/000000,"Replacement of Epiglottis with Nonaut Sub, Open Approach",25,true,false,false,false,true,true,false,false
112,"Aesculus hippocastanum, flos, Agrimonia eupatoria, flos, Caladium seguinum, Capsicum annuum, Daphne indica, Eugenia jambosa, Helianthus annuus, Juglans regia, flos, Kali phosphoricum, Lobelia inflata, Lonicera caprifolium, flos, Nicotinum, Nux vomica, Plantago major, Saccharum officinale, Staphysagria, Tabacum",http://dummyimage.com/205x100.png/5fa2dd/ffffff,"Bypass Azygos Vein to Up Vein w Autol Sub, Perc Endo",16,false,false,true,false,false,false,false,true
113,Mucor racemosus immunoserum rabbit,http://dummyimage.com/244x100.png/5fa2dd/ffffff,"Revision of Drain Dev in Retroperitoneum, Open Approach",15,true,true,true,false,false,true,true,false
114,"HYDROCODONE BITARTRATE, ACETAMINOPHEN",http://dummyimage.com/191x100.png/dddddd/000000,"Occlusion of Left Fallopian Tube, Via Opening",6,true,false,true,false,true,false,false,true
115,"octinoxate, oxybenzone and petrolatum",http://dummyimage.com/115x100.png/cc0000/ffffff,"Revision of VAD in Up Extrem Subcu/Fascia, Perc Approach",29,false,false,false,false,false,true,false,false
116,Mometasone Furoate,http://dummyimage.com/184x100.png/cc0000/ffffff,"Excision of Left Ankle Tendon, Percutaneous Approach",6,false,false,true,false,false,true,true,true
117,Warfarin Sodium,http://dummyimage.com/213x100.png/cc0000/ffffff,"Lower Joints, Extirpation",28,false,false,true,true,false,false,true,false
118,Oxygen,http://dummyimage.com/224x100.png/ff4444/ffffff,"Destruction of Left Eustachian Tube, Endo",26,false,false,true,true,false,false,false,false
119,Sulfamethoxazole and Trimethoprim,http://dummyimage.com/110x100.png/cc0000/ffffff,"Supplement R Up Leg Subcu/Fascia w Nonaut Sub, Open",26,false,true,false,true,true,false,false,false
120,CALCAREA FLUORICA,http://dummyimage.com/174x100.png/dddddd/000000,"Drainage of Right Kidney, Open Approach",7,true,true,true,false,false,true,true,true
121,"Glandula Suprarenalis Suis, Brain (suis), Kidney (suis), Ubiquinone, Agaricus Muscarius, Coccus Cacti, Conium Maculatum, Phosphorus",http://dummyimage.com/241x100.png/cc0000/ffffff,"Repair Lumbosacral Disc, Open Approach",24,false,false,false,true,true,true,true,false
122,Povidone iodine swabstick,http://dummyimage.com/147x100.png/ff4444/ffffff,"Destruction of Middle Colic Artery, Perc Endo Approach",9,false,true,true,true,true,true,false,true
123,Leucovorin Calcium,http://dummyimage.com/188x100.png/dddddd/000000,"Bypass L Axilla Art to L Extracran Art w Autol Vn, Open",6,true,true,true,true,false,false,true,true
124,Phenol,http://dummyimage.com/249x100.png/ff4444/ffffff,"Transfer Perineum Subcu/Fascia, Open Approach",15,false,false,true,true,false,true,true,false
125,Phentermine Hydrochloride,http://dummyimage.com/216x100.png/ff4444/ffffff,"Dilation of R Up Lobe Bronc with Intralum Dev, Perc Approach",3,true,true,false,true,true,true,true,false
126,Salicylic Acid,http://dummyimage.com/141x100.png/ff4444/ffffff,"Dilate R Ext Iliac Art, Bifurc, w 3 Drug-elut, Perc",10,false,true,true,true,false,true,false,true
127,Lidocaine,http://dummyimage.com/111x100.png/5fa2dd/ffffff,"Revision of Synth Sub in L Up Extrem, Extern Approach",2,false,true,true,false,true,false,true,true
128,fentanyl transdermal system,http://dummyimage.com/153x100.png/5fa2dd/ffffff,"Release Right Vertebral Artery, Perc Endo Approach",5,true,true,false,true,false,false,true,true
129,ESZOPICLONE,http://dummyimage.com/197x100.png/5fa2dd/ffffff,"Insertion of Intralum Dev into R Axilla Vein, Perc Approach",10,false,false,true,true,false,false,false,true
130,MINOXIDIL,http://dummyimage.com/105x100.png/5fa2dd/ffffff,"Nuclear Medicine, ENT & Mouth, Planar Nucl Med Imag",15,false,true,false,false,false,true,true,true
131,Amlodipine besylate,http://dummyimage.com/123x100.png/5fa2dd/ffffff,"Dilation of R Hypogast Vein with Intralum Dev, Perc Approach",13,false,true,false,true,false,false,false,false
132,Alcohol,http://dummyimage.com/239x100.png/cc0000/ffffff,"Release Left Neck Muscle, External Approach",9,true,false,false,true,true,false,true,true
133,"Octinoxate, Avobenzone, and Octisalate",http://dummyimage.com/144x100.png/5fa2dd/ffffff,"Revision of Synth Sub in Spinal Canal, Open Approach",16,true,false,true,false,false,false,false,false
134,"Octinoxate, Oxybenzone",http://dummyimage.com/100x100.png/cc0000/ffffff,"Excision of Bilateral Fallopian Tubes, Perc Approach, Diagn",15,true,true,false,false,false,true,true,true
135,linezolid,http://dummyimage.com/189x100.png/dddddd/000000,"Bypass Left Lesser Saphenous Vein to Low Vein, Open Approach",17,true,false,false,true,true,false,false,true
136,fluticasone propionate,http://dummyimage.com/119x100.png/dddddd/000000,"Bypass Stomach to Duodenum with Nonaut Sub, Endo",8,false,true,true,false,true,true,false,false
137,Brussels Sprout,http://dummyimage.com/213x100.png/ff4444/ffffff,"Removal of Intraluminal Device from Left Ear, Open Approach",5,true,true,true,false,true,false,false,true
138,Water Hemp,http://dummyimage.com/122x100.png/5fa2dd/ffffff,"Replace Neck Skin w Nonaut Sub, Full Thick, Extern",4,true,false,false,false,true,false,false,true
139,Serotonin,http://dummyimage.com/210x100.png/ff4444/ffffff,"Inspection of Bilateral Femoral Region, Perc Approach",25,false,false,true,true,false,false,true,false
140,"mineral oil, petrolatum, phenylephrine hydrochloride, shark liver oil",http://dummyimage.com/201x100.png/dddddd/000000,"Reposition Thor Jt with Int Fix, Perc Approach",26,true,true,true,true,false,true,true,true
141,Valacyclovir Hydrochloride,http://dummyimage.com/138x100.png/cc0000/ffffff,"Bypass Cystic Duct to Duodenum, Perc Endo Approach",29,false,true,false,true,true,false,true,true
142,Promethazine Hydrochloride and Codeine Phosphate,http://dummyimage.com/135x100.png/dddddd/000000,"Excision of Left Finger Phalanx, Open Approach",26,false,true,false,false,false,true,false,true
143,ZINC OXIDE,http://dummyimage.com/141x100.png/cc0000/ffffff,"Release Left Upper Leg Muscle, Percutaneous Approach",16,false,false,false,false,false,false,true,false
144,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",http://dummyimage.com/196x100.png/ff4444/ffffff,"Excision of Right Fibula, Percutaneous Endoscopic Approach",29,true,false,true,true,false,true,true,false
145,Naja e veneno 10,http://dummyimage.com/176x100.png/cc0000/ffffff,"Bypass L Axilla Art to L Up Leg Art w Autol Art, Open",29,true,false,false,false,false,true,true,true
146,prochlorperazine maleate,http://dummyimage.com/135x100.png/ff4444/ffffff,"Introduce Electrol/Water Bal in Male Reprod, Via Opening",19,false,false,false,false,false,false,false,true
147,"Titanium Dioxide, Zinc Oxide",http://dummyimage.com/154x100.png/5fa2dd/ffffff,"Dilation of Bi Ureter with Intralum Dev, Perc Endo Approach",20,true,true,false,true,true,true,true,true
148,Papaya,http://dummyimage.com/196x100.png/ff4444/ffffff,"Drainage of Right Breast, Endo",29,true,false,true,false,true,true,false,true
149,alpha-1 proteinase inhibitor human,http://dummyimage.com/190x100.png/5fa2dd/ffffff,"Removal of Extraluminal Device from Stomach, Endo",16,false,false,true,true,false,true,false,true
150,Ibuprofen,http://dummyimage.com/117x100.png/dddddd/000000,"Destruction of Ampulla of Vater, Endo",26,true,true,false,true,true,true,false,false
151,Aliskiren Hemifumarate and Amlodipine Besylate and Hydrochlorothiazide,http://dummyimage.com/158x100.png/cc0000/ffffff,"Removal of Drainage Device from Bone Marrow, Open Approach",23,false,true,true,false,true,true,false,false
152,METHYL SALICYLATE MENTHOL CAPSAICIN LIDOCAINE,http://dummyimage.com/241x100.png/5fa2dd/ffffff,"Resection of Left Parotid Gland, Open Approach",6,false,false,true,false,false,true,false,false
153,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",http://dummyimage.com/215x100.png/cc0000/ffffff,"Removal of Nonaut Sub from Thor Jt, Perc Endo Approach",5,true,true,true,true,true,true,true,false
154,"Belladonna, Canthris, Apis mellifica, Arnica montana, Allium cepa, Rhus aromatica, Equisetum hyemale",http://dummyimage.com/190x100.png/ff4444/ffffff,"Restriction of Jejunum, Open Approach",3,false,true,true,false,false,true,true,true
155,Octocrylene and Oxybenzone and Avobenzone,http://dummyimage.com/107x100.png/5fa2dd/ffffff,"Supplement Urethra with Nonaut Sub, Open Approach",1,false,false,true,false,false,false,true,false
